materia,aulas_criadas,questoes_criadas,erros,status
Matemática,9,2,0,ok
Português,9,2,0,ok
Biologia,10,2,0,ok
Química,10,2,0,ok
Física,10,2,0,ok
História,10,2,0,ok
Geografia,10,2,0,ok
Redação,10,0,0,ok
